0,1,2,3,label
-115.92114297761923,-23.344994285064864,-0.5573706447654843,7.161896475803367,sitting
-125.92186067171983,-21.452231781147724,1.1558707054251727,5.144243334646042,sitting
-126.46713615222279,-22.248747029273268,3.2907554734035784,3.8919416840488523,sitting
-127.8483541693368,-20.407279146108223,-0.669485993590115,4.870604980045023,sitting
-127.03364405636805,-20.51984336450699,-6.83194032258362,7.958505507316573,sitting
-126.10530070757628,-21.203600035859274,-21.603887440420834,5.814444808531832,sitting
-126.52548406792215,-23.129770276983507,7.673002430950277,4.192750084866184,sitting
-122.37505053411064,-27.767270083701924,39.02719780167658,6.929324157288917,sitting
-122.32232663427791,-28.939501752986914,47.673262342719056,8.798034321138154,sitting
-118.71841620341891,-28.67302379907695,33.468512868199724,4.0854229745928805,sitting
-114.10606460657753,-27.6051723392194,37.192975106198446,8.43313790556163,sitting
-111.29399607924626,-26.814323060422893,34.82967538713211,13.095240479781978,sitting
-107.64919265550121,-29.490814232577307,37.377705425246404,12.310683524646578,sitting
-98.48167460859783,-30.893025839998764,-3.321596506326017,17.72344248430616,sitting
-97.66423931991919,-30.196336911213614,-10.802554476387556,15.783950298172918,sitting
-93.6900179815967,-32.7014850280229,-21.359303220785733,19.15567362853895,sitting
-101.57050850754386,-29.945053068860062,-14.992747773755994,20.320711340989448,sitting
-107.46185678617529,-27.66404371466418,-11.759172107563089,20.802448390963846,sitting
-106.67313403493398,-29.852640817551475,-3.1762265853716656,10.434139262723,sitting
-106.15043964778668,-27.283965110500915,-24.31905644813395,6.907552459334255,sitting
-107.42651176037288,-25.95943582581343,-25.554060452688645,11.662451876779464,sitting
-114.10320807887221,-20.94542306537077,-36.83749581096811,17.12924697495312,sitting
-121.88125032030395,-22.054410741870754,-5.688869534641668,15.62340914403783,sitting
-123.82722260123796,-21.535084469225396,-13.261297498490222,21.146928482293347,sitting
-121.53390786328286,-23.815835479514874,-8.314308136071418,12.084002149661437,sitting
-119.50110329646179,-25.173130885432997,-12.330288510699518,13.500499722534393,sitting
-119.46558397859948,-24.345774098857838,-13.32060568675432,16.29965340892292,sitting
-123.20495230396521,-21.83947808928807,-22.726510237041495,16.947487125381194,sitting
-121.31735240223495,-23.817575914874517,-14.028449579054666,13.932750507827826,sitting
-120.76402932077556,-25.354184668174135,-4.150790921140441,11.800630942931392,sitting
-119.93979375867347,-24.427210306570267,-15.252198914834253,14.956750810928966,sitting
-123.44323547450625,-20.888803423716695,-14.713305485446654,21.76756694631308,sitting
-123.89377414175894,-22.152155329518727,-9.487976169690356,16.00830691275209,sitting
-123.14260573899104,-22.242848855892014,-10.905122101342428,13.659513033077374,sitting
-125.13222654113508,-20.926431936613575,-16.91489692450618,13.71967381129911,sitting
-124.33785993210893,-21.602010323703738,-13.475016186824263,11.18480814984455,sitting
-125.48043492877358,-19.66148769862363,-27.47114123406709,13.452118985847044,sitting
-125.89319092089369,-20.112671219500868,-17.847346773689424,8.539097504126268,sitting
-126.62773153543293,-20.634704196314516,11.03053474150218,12.790852268690628,sitting
-125.98306575541446,-20.770822909672617,-22.92704004416477,16.218061474124525,sitting
-126.64562354938134,-18.969702002433387,-38.24942257115707,11.945183861840974,sitting
-128.0444719785117,-17.870691014688752,-33.32791149015998,12.26210552866894,sitting
-128.2436792899478,-17.72463925949574,-33.94862213151832,11.2972349226089,sitting
-128.54582176613192,-16.673979445809607,-45.03896386816733,10.264143482892003,sitting
-126.72680531848152,-20.481351411056764,-19.7630873970259,15.283321726043631,sitting
-124.92136252048525,-23.129401723811227,-15.978384985371221,23.819638527813638,sitting
-121.63736826699146,-22.530298861973435,-9.32392129611236,29.570928261951835,sitting
-109.40633982542468,-23.357433200254363,-2.076642556297287,24.247815798102792,sitting
-115.5836200727374,-20.73752612041541,6.519784844042363,20.70568175200026,sitting
-123.08830644006073,-21.750934918519718,11.762136804551744,19.957451850110232,sitting
84.62200398532246,-39.47041005204982,-21.187944440306566,32.47314010752294,sitting
-109.86257940702667,-13.222523007531153,2.8009125863201803,27.12202780498953,sitting
-92.7011409378873,-24.41839192563929,-0.6955560990776348,1.8385876953482665,sitting
-119.5832089894781,-3.946631550192045,13.845826554752392,17.254046053638056,sitting
-135.52564973038315,-10.134264178447065,6.434933426911357,14.108647796089322,sitting
-137.2010916789657,-7.670227016443283,11.324707691532296,22.443895235188933,sitting
-132.03379049548698,-9.266786651550257,1.1467059173758969,2.9477436505067303,sitting
-121.08775507584872,-15.729079124178524,8.91446611669079,9.821462680145544,sitting
-120.17534525821898,-23.13043289330642,9.301108707661598,16.017066630075668,sitting
-126.51865938585604,-19.547918579079777,21.333826917602295,14.35259045268048,sitting
-124.08280682675016,-22.652236320674483,49.37480116372103,9.631574477593105,sitting
-121.3664154670079,-25.24365048933091,40.06137897742752,8.469344525773003,sitting
-105.219757480565,-39.520755062556304,22.670653214273244,11.933618719013651,sitting
-121.0076094605417,-27.61586682818252,16.1370671194872,8.505643016992238,sitting
-121.14540132133064,-27.628789773906263,25.975313101529395,4.069543297505362,sitting
-108.39767576683047,-32.065859153084745,31.092928022919637,8.7456422795291,sitting
-100.08455936625117,-37.76634703071784,34.123695531015414,7.512636830559877,sitting
-88.09348901540616,-45.12384606610445,28.059483268736557,7.53207028016358,sitting
-93.17844980830704,-39.98613672943039,30.53480434208231,8.72942440678549,sitting
-90.73466781384124,-39.67974124739841,35.76778731756974,6.156177989219508,sitting
-87.56053949988785,-27.79680825419338,56.65697339054026,6.539140013912501,sitting
-81.49136660388191,-20.631488611828807,55.18962157967027,14.467987518532077,sitting
